car_name,weight_lb,mpg_observed,mpg_cv_predicted,cv_residual
chevrolet chevelle malibu,3504.0,18.000,19.350,-1.350
buick skylark 320,3693.0,15.000,18.000,-3.000
plymouth satellite,3436.0,18.000,19.921,-1.921
amc rebel sst,3433.0,16.000,19.978,-3.978
ford torino,3449.0,17.000,19.729,-2.729
ford galaxie 500,4341.0,15.000,13.042,1.958
chevrolet impala,4354.0,14.000,12.893,1.107
plymouth fury iii,4312.0,14.000,13.221,0.779
pontiac catalina,4425.0,14.000,12.296,1.704
amc ambassador dpl,3850.0,15.000,16.667,-1.667
dodge challenger se,3563.0,15.000,18.995,-3.995
plymouth 'cuda 340,3609.0,14.000,18.604,-4.604
chevrolet monte carlo,3761.0,15.000,17.350,-2.350
buick estate wagon (sw),3086.0,14.000,22.638,-8.638
toyota corona mark ii,2372.0,24.000,28.101,-4.101
plymouth duster,2833.0,22.000,24.553,-2.553
amc hornet,2774.0,18.000,25.043,-7.043
ford maverick,2587.0,21.000,26.523,-5.523
datsun pl510,2130.0,27.000,29.993,-2.993
volkswagen 1131 deluxe sedan,1835.0,26.000,32.261,-6.261
peugeot 504,2672.0,25.000,25.825,-0.825
audi 100 ls,2430.0,24.000,27.670,-3.670
saab 99e,2375.0,25.000,28.208,-3.208
bmw 2002,2234.0,26.000,29.215,-3.215
amc gremlin,2648.0,21.000,26.052,-5.052
ford f250,4615.0,10.000,10.928,-0.928
chevy c20,4376.0,10.000,12.768,-2.768
dodge d200,4382.0,11.000,12.627,-1.627
hi 1200d,4732.0,9.000,9.947,-0.947
datsun pl510,2130.0,27.000,29.785,-2.785
chevrolet vega 2300,2264.0,28.000,29.064,-1.064
toyota corona,2228.0,25.000,29.342,-4.342
ford pinto,2046.0,25.000,30.610,-5.610
amc gremlin,2634.0,19.000,26.097,-7.097
plymouth satellite custom,3439.0,16.000,19.941,-3.941
chevrolet chevelle malibu,3329.0,17.000,20.644,-3.644
ford torino 500,3302.0,19.000,21.008,-2.008
amc matador,3288.0,18.000,21.089,-3.089
chevrolet impala,4209.0,14.000,14.038,-0.038
pontiac catalina brougham,4464.0,14.000,12.093,1.907
ford galaxie 500,4154.0,14.000,14.383,-0.383
plymouth fury iii,4096.0,14.000,14.796,-0.796
dodge monaco (sw),4955.0,12.000,8.098,3.902
