data;produktua;kopurua;prezioa
2026-03-01 00:00:00;Telebista;5;313.78
2026-03-01 06:00:00;Garbigailua;5;332.19
2026-03-01 12:00:00;Kafe-makina;5;785.9
2026-03-01 18:00:00;Kafe-makina;4;134.16
2026-03-02 00:00:00;Mikrouhin;2;716.77
2026-03-02 06:00:00;Hozkailua;2;693.21
2026-03-02 12:00:00;Kafe-makina;1;218.29
2026-03-02 18:00:00;Mikrouhin;2;312.02
2026-03-03 00:00:00;Mikrouhin;1;477.17
2026-03-03 06:00:00;Mikrouhin;3;651.79
2026-03-03 12:00:00;Kafe-makina;5;762.83
2026-03-03 18:00:00;Kafe-makina;3;793.86
2026-03-04 00:00:00;Telebista;4;260.92
2026-03-04 06:00:00;Hozkailua;2;194.27
2026-03-04 12:00:00;Kafe-makina;5;415.79
2026-03-04 18:00:00;Mikrouhin;1;468.17
2026-03-05 00:00:00;Hozkailua;4;542.53
2026-03-05 06:00:00;Telebista;4;130.69
2026-03-05 12:00:00;Mikrouhin;4;534.77
2026-03-05 18:00:00;Garbigailua;5;741.03
2026-03-06 00:00:00;Garbigailua;2;736.4
2026-03-06 06:00:00;Mikrouhin;2;757.83
2026-03-06 12:00:00;Garbigailua;3;741.75
2026-03-06 18:00:00;Garbigailua;5;770.58
2026-03-07 00:00:00;Telebista;2;86.52
2026-03-07 06:00:00;Hozkailua;2;737.01
2026-03-07 12:00:00;Kafe-makina;1;253.41
2026-03-07 18:00:00;Garbigailua;4;290.5
2026-03-08 00:00:00;Mikrouhin;1;393.96
2026-03-08 06:00:00;Kafe-makina;4;766.46
2026-03-08 12:00:00;Telebista;3;503.82
2026-03-08 18:00:00;Telebista;3;314.52
2026-03-09 00:00:00;Hozkailua;3;330.62
2026-03-09 06:00:00;Garbigailua;4;728.7
2026-03-09 12:00:00;Kafe-makina;2;666.76
2026-03-09 18:00:00;Kafe-makina;5;153.15
2026-03-10 00:00:00;Mikrouhin;2;236.51
2026-03-10 06:00:00;Kafe-makina;5;328.96
2026-03-10 12:00:00;Telebista;2;212.56
2026-03-10 18:00:00;Garbigailua;4;472.61
2026-03-11 00:00:00;Garbigailua;3;217.73
2026-03-11 06:00:00;Telebista;4;481.19
2026-03-11 12:00:00;Telebista;1;752.02
2026-03-11 18:00:00;Kafe-makina;1;686.51
2026-03-12 00:00:00;Mikrouhin;3;124.45
2026-03-12 06:00:00;Garbigailua;5;205.18
2026-03-12 12:00:00;Telebista;1;359.56
2026-03-12 18:00:00;Telebista;5;534.6
