data;produktua;kopurua;prezioa
2026-02-01 00:00:00;Hozkailua;1;719.25
2026-02-01 06:00:00;Hozkailua;2;676.6
2026-02-01 12:00:00;Telebista;4;124.51
2026-02-01 18:00:00;Mikrouhin;4;534.69
2026-02-02 00:00:00;Kafe-makina;5;282.87
2026-02-02 06:00:00;Hozkailua;4;615.54
2026-02-02 12:00:00;Kafe-makina;2;456.97
2026-02-02 18:00:00;Garbigailua;5;393.2
2026-02-03 00:00:00;Kafe-makina;4;721.53
2026-02-03 06:00:00;Mikrouhin;5;92.94
2026-02-03 12:00:00;Hozkailua;1;467.99
2026-02-03 18:00:00;Garbigailua;2;295.93
2026-02-04 00:00:00;Telebista;3;76.46
2026-02-04 06:00:00;Kafe-makina;3;615.14
2026-02-04 12:00:00;Telebista;1;471.31
2026-02-04 18:00:00;Kafe-makina;5;720.61
2026-02-05 00:00:00;Telebista;4;498.7
2026-02-05 06:00:00;Garbigailua;2;302.78
2026-02-05 12:00:00;Garbigailua;1;788.91
2026-02-05 18:00:00;Hozkailua;5;136.79
2026-02-06 00:00:00;Garbigailua;2;89.45
2026-02-06 06:00:00;Kafe-makina;1;599.47
2026-02-06 12:00:00;Kafe-makina;3;328.16
2026-02-06 18:00:00;Garbigailua;5;321.1
2026-02-07 00:00:00;Garbigailua;5;707.4
2026-02-07 06:00:00;Garbigailua;5;295.47
2026-02-07 12:00:00;Hozkailua;5;716.74
2026-02-07 18:00:00;Telebista;4;532.99
2026-02-08 00:00:00;Kafe-makina;2;296.79
2026-02-08 06:00:00;Telebista;3;94.65
2026-02-08 12:00:00;Telebista;1;233.83
2026-02-08 18:00:00;Mikrouhin;3;776.31
2026-02-09 00:00:00;Telebista;2;353.95
2026-02-09 06:00:00;Hozkailua;3;170.03
2026-02-09 12:00:00;Mikrouhin;1;273.51
2026-02-09 18:00:00;Kafe-makina;3;724.68
2026-02-10 00:00:00;Garbigailua;5;173.73
2026-02-10 06:00:00;Mikrouhin;3;633.4
2026-02-10 12:00:00;Garbigailua;5;151.15
2026-02-10 18:00:00;Mikrouhin;1;771.05
2026-02-11 00:00:00;Hozkailua;4;447.65
2026-02-11 06:00:00;Telebista;4;82.38
2026-02-11 12:00:00;Mikrouhin;1;748.22
2026-02-11 18:00:00;Garbigailua;5;318.67
2026-02-12 00:00:00;Kafe-makina;1;598.57
2026-02-12 06:00:00;Telebista;2;442.78
2026-02-12 12:00:00;Mikrouhin;5;119.44
2026-02-12 18:00:00;Kafe-makina;3;129.54
2026-02-13 00:00:00;Kafe-makina;2;161.92
2026-02-13 06:00:00;Mikrouhin;2;170.9
2026-02-13 12:00:00;Garbigailua;4;89.57
2026-02-13 18:00:00;Kafe-makina;5;85.26
2026-02-14 00:00:00;Telebista;1;761.32
2026-02-14 06:00:00;Kafe-makina;4;118.47
2026-02-14 12:00:00;Hozkailua;5;431.26
2026-02-14 18:00:00;Kafe-makina;1;138.97
2026-02-15 00:00:00;Garbigailua;5;211.09
2026-02-15 06:00:00;Hozkailua;2;622.3
2026-02-15 12:00:00;Telebista;3;753.6
2026-02-15 18:00:00;Kafe-makina;4;402.28
2026-02-16 00:00:00;Kafe-makina;4;54.23
2026-02-16 06:00:00;Mikrouhin;5;799.41
2026-02-16 12:00:00;Mikrouhin;1;85.83
2026-02-16 18:00:00;Hozkailua;4;342.09
2026-02-17 00:00:00;Garbigailua;4;454.29
2026-02-17 06:00:00;Telebista;3;718.8
2026-02-17 12:00:00;Mikrouhin;4;667.33
2026-02-17 18:00:00;Kafe-makina;2;507.04
2026-02-18 00:00:00;Mikrouhin;2;348.95
2026-02-18 06:00:00;Telebista;1;675.86
2026-02-18 12:00:00;Telebista;5;701.79
2026-02-18 18:00:00;Kafe-makina;3;703.93
2026-02-19 00:00:00;Hozkailua;3;588.23
2026-02-19 06:00:00;Garbigailua;4;123.34
2026-02-19 12:00:00;Kafe-makina;4;273.93
2026-02-19 18:00:00;Hozkailua;2;414.44
2026-02-20 00:00:00;Garbigailua;3;428.79
2026-02-20 06:00:00;Telebista;1;674.66
