data;produktua;kopurua;prezioa
2026-01-01 00:00:00;Garbigailua;5;385.93
2026-01-01 06:00:00;Hozkailua;1;544.42
2026-01-01 12:00:00;Hozkailua;5;546.28
2026-01-01 18:00:00;Mikrouhin;4;678.92
2026-01-02 00:00:00;Garbigailua;2;449.42
2026-01-02 06:00:00;Kafe-makina;4;79.73
2026-01-02 12:00:00;Garbigailua;4;121.7
2026-01-02 18:00:00;Telebista;4;649.17
2026-01-03 00:00:00;Telebista;2;351.79
2026-01-03 06:00:00;Kafe-makina;4;561.84
2026-01-03 12:00:00;Mikrouhin;4;426.44
2026-01-03 18:00:00;Kafe-makina;5;347.88
2026-01-04 00:00:00;Mikrouhin;4;639.36
2026-01-04 06:00:00;Kafe-makina;2;763.5
2026-01-04 12:00:00;Hozkailua;4;243.47
2026-01-04 18:00:00;Telebista;2;439.91
2026-01-05 00:00:00;Hozkailua;2;701.08
2026-01-05 06:00:00;Mikrouhin;2;394.52
2026-01-05 12:00:00;Mikrouhin;3;132.5
2026-01-05 18:00:00;Kafe-makina;4;649.25
2026-01-06 00:00:00;Kafe-makina;3;423.44
2026-01-06 06:00:00;Kafe-makina;3;197.88
2026-01-06 12:00:00;Hozkailua;4;707.06
2026-01-06 18:00:00;Kafe-makina;4;251.13
2026-01-07 00:00:00;Telebista;3;227.7
2026-01-07 06:00:00;Kafe-makina;1;329.44
2026-01-07 12:00:00;Garbigailua;5;339.43
2026-01-07 18:00:00;Mikrouhin;4;224.82
2026-01-08 00:00:00;Garbigailua;2;181.83
2026-01-08 06:00:00;Hozkailua;2;348.88
2026-01-08 12:00:00;Hozkailua;5;681.22
2026-01-08 18:00:00;Kafe-makina;4;640.05
2026-01-09 00:00:00;Hozkailua;5;530.59
2026-01-09 06:00:00;Kafe-makina;5;422.01
2026-01-09 12:00:00;Garbigailua;5;404.79
2026-01-09 18:00:00;Kafe-makina;4;405.68
2026-01-10 00:00:00;Kafe-makina;4;757.68
2026-01-10 06:00:00;Mikrouhin;1;603.35
2026-01-10 12:00:00;Mikrouhin;5;81.18
2026-01-10 18:00:00;Mikrouhin;4;618.34
2026-01-11 00:00:00;Telebista;1;435.05
2026-01-11 06:00:00;Garbigailua;3;183.82
2026-01-11 12:00:00;Hozkailua;3;344.0
2026-01-11 18:00:00;Kafe-makina;4;754.69
